model,num_rules,accuracy,latency,acc_per_latency
anthropic/claude-3.7-sonnet,210,78.57142857142858,56.854911422729494,1.3819637847508324
anthropic/claude-3.7-sonnet,220,67.9090909090909,52.178260231018065,1.3014824681471737
anthropic/claude-3.7-sonnet,230,73.3913043478261,63.58429007530212,1.1542364357754036
anthropic/claude-3.7-sonnet,240,77.58333333333334,61.30254282951355,1.2655809979872736
anthropic/claude-3.7-sonnet,250,72.88,55.890530586242676,1.3039776011348019
anthropic/claude-3.7-sonnet,260,70.92307692307693,57.65550580024719,1.230118024960122
anthropic/claude-3.7-sonnet,270,65.33333333333333,60.76123285293579,1.0752469998668999
anthropic/claude-3.7-sonnet,280,67.21428571428571,58.626650142669675,1.1464800658184933
anthropic/claude-3.7-sonnet,290,70.6896551724138,62.41634249687195,1.132550424209116
anthropic/claude-3.7-sonnet,300,69.2,70.49002895355224,0.98169912861857
anthropic/claude-3.7-sonnet,310,64.51612903225806,77.42616925239562,0.8332599901972018
anthropic/claude-3.7-sonnet,320,66.125,76.82556662559509,0.8607160728440355
anthropic/claude-3.7-sonnet,330,66.06060606060605,68.23210277557374,0.9681748527945843
anthropic/claude-3.7-sonnet,340,59.294117647058826,62.94460072517395,0.9420048258935868
anthropic/claude-3.7-sonnet,350,59.48571428571429,64.89485912322998,0.9166475602136038
anthropic/claude-3.7-sonnet,360,58.66666666666667,61.50917358398438,0.953787268602519
anthropic/claude-3.7-sonnet,370,57.13513513513514,71.48984718322754,0.7992062843371106
anthropic/claude-3.7-sonnet,380,62.05263157894736,69.31875538825989,0.8951780976358508
anthropic/claude-3.7-sonnet,390,63.128205128205124,72.68822221755981,0.868479145620854
anthropic/claude-3.7-sonnet,400,59.25,69.77021055221557,0.8492162992063451
anthropic/claude-3.7-sonnet,410,54.53658536585366,69.67109031677246,0.7827720955405322
anthropic/claude-3.7-sonnet,420,58.857142857142854,68.82131471633912,0.8552167754965798
anthropic/claude-3.7-sonnet,430,56.093023255813954,74.78027334213257,0.7501045496207102
anthropic/claude-3.7-sonnet,440,60.63636363636364,80.45371613502502,0.7536800852629103
anthropic/claude-3.7-sonnet,450,60.133333333333326,67.5488866329193,0.8902194592801463
anthropic/claude-3.7-sonnet,460,52.26086956521739,71.00371198654175,0.7360301046672472
anthropic/claude-3.7-sonnet,470,50.255319148936174,69.06747603416443,0.7276264029697167
anthropic/claude-3.7-sonnet,480,57.16666666666667,73.5750874042511,0.7769840129794211
anthropic/claude-3.7-sonnet,490,53.59183673469388,68.9267210483551,0.7775190219348583
anthropic/claude-3.7-sonnet,500,52.67999999999999,72.10043773651122,0.7306474364624164
anthropic/claude-opus-4,10,100.0,24.93591022491455,4.01028071957388
anthropic/claude-opus-4,20,100.0,29.297822523117066,3.413222942459164
anthropic/claude-opus-4,30,100.0,35.6941780090332,2.8015773321546384
anthropic/claude-opus-4,40,99.0,40.164244651794434,2.4648789204996775
anthropic/claude-opus-4,50,100.0,43.221458721160886,2.3136655485216373
anthropic/claude-opus-4,60,98.66666666666666,44.13965578079224,2.2353293183043426
anthropic/claude-opus-4,70,99.14285714285715,51.43092498779297,1.9276895596645116
anthropic/claude-opus-4,80,97.75,63.95220675468445,1.528485176046562
anthropic/claude-opus-4,90,95.55555555555556,65.13219785690308,1.46710165938962
anthropic/claude-opus-4,100,94.6,75.44565162658691,1.2538827349283987
anthropic/claude-opus-4,110,91.45454545454545,88.98534379005432,1.0277484084380997
anthropic/claude-opus-4,120,94.16666666666667,88.80831589698792,1.0603361376190727
anthropic/claude-opus-4,130,92.61538461538461,75.38826146125794,1.2285120099629794
anthropic/claude-opus-4,140,95.57142857142857,81.78271689414979,1.1686017804363888
anthropic/claude-opus-4,150,90.66666666666667,107.67425193786622,0.8420459398128549
anthropic/claude-opus-4,160,83.125,111.81070680618286,0.7434440079525854
anthropic/claude-opus-4,170,86.58823529411765,119.17600259780883,0.7265576408560431
anthropic/claude-opus-4,180,74.11111111111111,116.76340174674988,0.6347118189640617
anthropic/claude-opus-4,190,75.6842105263158,116.07211980819702,0.6520446998933069
anthropic/claude-opus-4,200,74.7,130.25837602615357,0.5734755973389501
anthropic/claude-opus-4,210,76.19047619047619,144.4320116519928,0.5275179326177096
anthropic/claude-opus-4,220,67.72727272727272,136.74942874908447,0.4952654892002695
anthropic/claude-opus-4,230,64.52173913043478,122.0328987121582,0.5287241376001703
anthropic/claude-opus-4,240,60.58333333333333,127.58733944892883,0.47483812731735714
anthropic/claude-opus-4,250,67.92,132.63082747459413,0.5120981395747554
anthropic/claude-opus-4,260,68.07692307692308,139.95930066108704,0.48640513888942677
anthropic/claude-opus-4,270,61.18518518518518,115.81897706985474,0.5282829008952662
anthropic/claude-opus-4,280,58.57142857142857,155.36465315818788,0.376993269581034
anthropic/claude-opus-4,290,53.58620689655172,105.90815238952636,0.5059686689600965
anthropic/claude-opus-4,300,56.06666666666668,135.12457795143126,0.41492574864373744
anthropic/claude-opus-4,310,61.03225806451612,163.0282509803772,0.37436614634271104
anthropic/claude-opus-4,320,50.875,134.88321142196656,0.3771781488864721
anthropic/claude-opus-4,330,58.54545454545455,188.33453183174134,0.31085884238031947
anthropic/claude-opus-4,340,49.82352941176471,126.54140548706054,0.39373301742613726
anthropic/claude-opus-4,350,53.94285714285714,152.84052386283875,0.35293556826111266
anthropic/claude-opus-4,360,48.22222222222222,107.64238996505738,0.44798542876905656
anthropic/claude-opus-4,370,46.972972972972975,104.95502805709839,0.44755333634343275
anthropic/claude-opus-4,380,47.89473684210526,144.76434249877929,0.3308462292260204
anthropic/claude-opus-4,390,52.15384615384615,150.1125768661499,0.34743155598714354
anthropic/claude-opus-4,400,46.75,129.58337903022766,0.36077157695582796
anthropic/claude-opus-4,410,46.048780487804876,196.00378322601318,0.23493822277249485
anthropic/claude-opus-4,420,49.142857142857146,122.9430836200714,0.399720388458145
anthropic/claude-opus-4,430,53.20930232558139,151.71883540153505,0.35070993120108696
anthropic/claude-opus-4,440,40.81818181818182,124.62925219535828,0.3275168638113843
anthropic/claude-opus-4,450,44.84444444444445,151.9720363140106,0.29508352676004873
anthropic/claude-opus-4,460,43.47826086956521,139.20692739486694,0.3123282848290811
anthropic/claude-opus-4,470,34.68085106382979,103.67637643814086,0.33451064027611277
anthropic/claude-opus-4,480,44.166666666666664,158.07325162887574,0.27940632720304337
anthropic/claude-opus-4,490,53.55102040816327,179.63426666259767,0.298111387114947
anthropic/claude-opus-4,500,44.64,146.95138964653015,0.30377392216143667
anthropic/claude-opus-4-high-reasoning,10,92.0,31.913983011245726,2.8827489181648493
anthropic/claude-opus-4-high-reasoning,20,100.0,40.2120557308197,2.486816408228467
anthropic/claude-opus-4-high-reasoning,30,100.0,37.20428018569946,2.687862780864603
anthropic/claude-opus-4-high-reasoning,40,91.5,43.36033821105957,2.110223392507161
anthropic/claude-opus-4-high-reasoning,50,99.6,47.81225509643555,2.083147925131548
anthropic/claude-opus-4-high-reasoning,60,99.0,50.231745433807376,1.9708652196937242
anthropic/claude-opus-4-high-reasoning,70,98.85714285714286,56.27847661972046,1.7565710515785795
anthropic/claude-opus-4-high-reasoning,80,73.25,53.66367645263672,1.364982886788423
