model,num_rules,seed,accuracy,omission_pct,modification_pct,recency_ratio,latency
meta-llama/llama-4-scout,40,0,77.5,77.77777777777779,22.22222222222222,5.0,11.658195972442629
anthropic/claude-opus-4,50,0,100.0,0.0,0.0,,54.43244290351868
openai/o3,70,0,100.0,0.0,0.0,,18.49873113632202
openai/gpt-4o,70,0,54.285714285714285,71.875,28.125,1.4444444444444442,11.884811162948608
google/gemini-2.5-pro-preview,60,0,98.33333333333333,100.0,0.0,,37.78455924987793
openai/gpt-4.5-preview,60,0,90.0,50.0,50.0,2.0,27.678807973861694
openai/gpt-4.1-mini,70,0,81.42857142857143,61.53846153846154,38.46153846153847,1.0,15.46647596359253
anthropic/claude-opus-4,60,0,100.0,0.0,0.0,,54.697041273117065
qwen/qwen3-235b-a22b,50,0,94.0,66.66666666666666,33.33333333333333,0.0,83.8356249332428
deepseek/deepseek-r1-0528,60,0,85.0,44.44444444444444,55.55555555555556,2.9999999999999996,46.247756004333496
anthropic/claude-sonnet-4,70,0,97.14285714285714,50.0,50.0,,17.83341383934021
anthropic/claude-sonnet-4,60,0,100.0,0.0,0.0,,17.8067569732666
openai/gpt-4.1-nano,60,0,61.66666666666667,56.52173913043478,43.47826086956522,0.8749999999999999,6.748028039932251
openai/gpt-4.1,70,0,88.57142857142857,12.5,87.5,1.5,10.487633228302002
x-ai/grok-3-mini-beta,70,0,97.14285714285714,100.0,0.0,1.0,10.31821084022522
anthropic/claude-3.7-sonnet,70,0,97.14285714285714,50.0,50.0,1.0,31.735465049743652
x-ai/grok-3-beta,70,0,98.57142857142858,100.0,0.0,,18.34229016304016
meta-llama/llama-4-maverick,60,0,60.0,83.33333333333334,16.666666666666664,1.6,6.956517934799194
anthropic/claude-3.5-haiku,70,0,45.714285714285715,86.8421052631579,13.157894736842104,0.9230769230769231,11.82913327217102
openai/gpt-4.1-nano,70,0,70.0,71.42857142857143,28.57142857142857,0.8333333333333334,7.5177061557769775
openai/gpt-4.1,80,0,90.0,37.5,62.5,2.5,13.762201070785522
deepseek/deepseek-r1-0528,70,0,94.28571428571428,50.0,50.0,,24.98874282836914
google/gemini-2.5-flash-preview-05-20,70,0,88.57142857142857,87.5,12.5,1.5,8.631937026977539
openai/gpt-4.1-mini,80,0,81.25,60.0,40.0,2.6666666666666665,14.097568035125732
google/gemini-2.5-pro-preview,70,0,100.0,0.0,0.0,,43.63826203346253
openai/gpt-4.5-preview,80,0,95.0,75.0,25.0,1.0,26.549431085586548
openai/gpt-4.5-preview,70,0,95.71428571428572,66.66666666666666,33.33333333333333,,23.979363918304443
openai/gpt-4o,80,0,65.0,64.28571428571429,35.714285714285715,1.8333333333333333,15.148689270019531
x-ai/grok-3-mini-beta,50,0,100.0,0.0,0.0,,11.451516151428224
anthropic/claude-opus-4,70,0,98.57142857142858,0.0,100.0,,70.16968178749084
google/gemini-2.5-flash-preview-05-20,80,0,86.25,81.81818181818183,18.181818181818183,6.999999999999999,9.798630952835085
meta-llama/llama-4-maverick,70,0,54.285714285714285,90.625,9.375,3.75,5.751867294311523
anthropic/claude-sonnet-4,80,0,98.75,0.0,100.0,0.0,28.7611300945282
openai/gpt-4o-mini,80,0,40.0,81.25,18.75,1.2000000000000002,12.183243036270142
openai/o3,80,0,100.0,0.0,0.0,,30.44724202156067
x-ai/grok-3-beta,80,0,100.0,0.0,0.0,,25.143067836761475
openai/gpt-4o-mini,70,0,54.285714285714285,81.25,18.75,0.6363636363636364,10.692490816116331
meta-llama/llama-4-scout,80,0,43.75,88.88888888888889,11.11111111111111,1.3846153846153846,8.808640956878662
anthropic/claude-3.7-sonnet,80,0,97.5,100.0,0.0,,42.2143440246582
x-ai/grok-3-mini-beta,80,0,93.75,40.0,60.0,3.0,10.639031648635864
google/gemini-2.5-pro-preview,80,0,100.0,0.0,0.0,,40.99120903015137
openai/o3,90,0,100.0,0.0,0.0,,26.288776874542236
openai/gpt-4.1-mini,90,0,84.44444444444444,50.0,50.0,2.333333333333333,15.142371892929075
anthropic/claude-3.5-haiku,80,0,51.24999999999999,92.3076923076923,7.6923076923076925,1.7999999999999998,11.675522089004517
openai/o4-mini,70,0,100.0,0.0,0.0,,70.18455195426941
openai/gpt-4.5-preview,90,0,88.88888888888889,40.0,60.0,1.5,26.19940185546875
google/gemini-2.5-flash-preview-05-20,90,0,77.77777777777779,90.0,10.0,12.0,8.966239213943481
openai/gpt-4o-mini,90,0,37.77777777777778,85.71428571428571,14.285714285714285,1.0,8.553131103515625
openai/gpt-4.1,90,0,98.88888888888889,100.0,0.0,0.0,19.983530044555664
meta-llama/llama-4-maverick,80,0,42.5,95.65217391304348,4.3478260869565215,1.6363636363636362,5.825134992599487
anthropic/claude-3.5-haiku,90,0,45.55555555555556,89.79591836734694,10.204081632653061,2.2,11.96226406097412
deepseek/deepseek-r1-0528,80,0,96.25,33.33333333333333,66.66666666666666,,52.12748622894287
meta-llama/llama-4-maverick,90,0,36.666666666666664,91.22807017543859,8.771929824561402,1.357142857142857,5.031400918960571
x-ai/grok-3-beta,90,0,97.77777777777777,100.0,0.0,,25.54805612564087
openai/gpt-4o,90,0,43.333333333333336,78.43137254901961,21.568627450980394,1.0,11.432021856307983
openai/o4-mini,60,0,98.33333333333333,0.0,100.0,,40.840675830841064
x-ai/grok-3-mini-beta,90,0,91.11111111111111,37.5,62.5,,12.74960207939148
anthropic/claude-3.7-sonnet,90,0,88.88888888888889,70.0,30.0,3.0,47.16673803329468
google/gemini-2.5-pro-preview,90,0,100.0,0.0,0.0,,49.73727321624756
anthropic/claude-sonnet-4,90,0,97.77777777777777,50.0,50.0,1.0,28.771393060684204
openai/gpt-4.1-mini,100,0,77.0,56.52173913043478,43.47826086956522,2.7499999999999996,9.552090883255005
openai/gpt-4.1,100,0,95.0,100.0,0.0,0.5,14.446011781692505
openai/gpt-4.1-nano,100,0,47.0,81.13207547169812,18.867924528301888,1.25,5.2081708908081055
anthropic/claude-opus-4,90,0,93.33333333333333,16.666666666666664,83.33333333333334,3.0,75.99191403388977
openai/gpt-4.1-nano,90,0,48.888888888888886,73.91304347826086,26.08695652173913,1.5833333333333333,5.928308963775635
openai/gpt-4o-mini,100,0,41.0,81.35593220338984,18.64406779661017,1.0526315789473684,12.383293867111206
openai/o3,100,0,100.0,0.0,0.0,,36.05883979797363
anthropic/claude-3.5-haiku,100,0,39.0,90.1639344262295,9.836065573770492,1.5625,10.868768215179443
